"fcc_unique_id","job_title","queried_salary","job_type","skill","company_id"
"1439_5bcd1ef0a7f4fb99","Data Scientist Business Intelligence Developer","120000-139999","data_scientist","['Machine Learning', 'R', 'SQL', 'HTML5', 'Splunk', 'CI', 'Design Experience', 'Software Development', 'Jira', 'Jenkins', 'AI', 'Hadoop', 'SDLC', 'Tableau', 'Java', 'Predictive Analytics', 'HP ALM', 'Angular', 'QlikView', 'Python']","c_457"
"1440_3c371b712ace44cf","Lead Data Scientist","120000-139999","data_scientist","['Bootstrap', 'Hive', 'Machine Learning', 'Hadoop', 'SQL', 'Tableau', 'Teradata', 'MySQL', 'Spark', 'Data Analysis', 'Python']","c_642"
"1441_76f52b60e7a4e342","Senior Data Scientist","120000-139999","data_scientist","['MATLAB', 'C/C++']","c_496"
"1442_913e1b259c8d65e2","Senior Data Scientist (Decision Science)","120000-139999","data_scientist","['Hive', 'Microsoft SQL Server', 'Data Analysis', 'R', 'Python', 'SQL', 'Tableau']","c_2218"
"1443_34c446722f3cf576","Senior Data Scientist","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'Hadoop', 'R', 'C/C++', 'SQL', 'Java', 'NoSQL', 'Python', 'Elasticsearch']","c_736"
"1444_3529500887e40d15","Production Research Data Scientist Co-op","120000-139999","data_scientist","['Predictive Analytics', 'R', 'Python']","c_1337"
"1445_163c11f34750a7cd","R&D Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Microsoft SQL Server', 'Machine Learning', 'R', 'DynamoDB', 'C/C++', 'Cloud Computing', 'Natural Language Processing', 'C#', 'PostgreSQL', 'MATLAB', 'AI', 'Hadoop', 'Oracle', 'Java', '.Net', 'Cassandra', 'MongoDB', 'Spark', 'Python']","c_69"
"1446_0b7a1f1097a7f37a","Senior Data Scientist/Statistician","120000-139999","data_scientist","['Data Mining', 'Six Sigma Certification', 'SQL']","c_1057"
"1447_683f563b5cc25b70","Sr. Data Scientist","120000-139999","data_scientist","['Big Data', 'Spark', 'Machine Learning', 'R', 'Operations Research', 'Python', 'SQL']","c_1417"
"1448_76bce720eab9a7b0","Data Scientist - Soil & Plant Sciences (DataSci/Analytics/Ma...","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'NoSQL', 'R', 'Python']","c_671"
"1449_3d93143c99ff89a3","Senior Data Scientist","120000-139999","data_scientist","['Time Management', 'Machine Learning', 'R', 'SAS', 'SQL', 'Python']","c_1314"
"1450_4e041af1d0af1bc8","Data Scientist, Lead","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'R', 'Perl', 'SAS', 'C/C++', 'Tableau', 'Splunk', 'Java', '.Net', 'C#', 'SPSS', 'Docker', 'Data Analysis', 'Python']","c_323"
"1451_f6ce40c91e89f80b","Data Scientist","120000-139999","data_scientist","['Machine Learning', 'Software Development', 'Leadership Experience', 'Python']","c_644"
"1452_1220ad3971071315","HBO Sr. Data Scientist/Lead Data Scientist","120000-139999","data_scientist","['Machine Learning', 'R', 'SAS', 'Python', 'SQL']","c_1969"
"1453_b000a8bfa0ce3df8","Sr. Data Scientist - Artificial Intelligence","120000-139999","data_scientist","['TensorFlow', 'AI', 'Machine Learning', 'Go', 'Network', 'R', 'Scala', '.Net', 'Java', 'C#', 'Design Experience']","c_819"
"1454_f89deb5a97c7738a","Senior Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Pig', 'Hive', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'Big Data', 'Java', 'Natural Language Processing', 'Spark', 'Python']","c_50"
"1455_3e88714d858f0a69","Data Scientist","120000-139999","data_scientist","['TensorFlow', 'AI', 'Machine Learning', 'Python', 'SQL', 'AWS']","c_87"
"1456_aa2c3da9385f84b6","Senior Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Machine Learning', 'R', 'Statisical Analysis', 'SQL', 'Tableau', 'Python']","c_111"
"1457_cc83b93538e07cb1","Senior Data Scientist - Precision Medicine","120000-139999","data_scientist","['Machine Learning']","c_1666"
"1458_f492978c16873c9a","Statistician/Data Scientist","120000-139999","data_scientist","['Statistical Software', 'Data Mining', 'TS/SCI Clearance', 'R', 'SAS', 'Microsoft Office', 'Spark', 'SPSS', 'MATLAB', 'Python', 'Elasticsearch']","c_974"
"1459_9784ae78e9834539","Senior Data Scientist - E2E Experience","120000-139999","data_scientist","['R', 'Python', 'SQL']","c_1069"
"1460_7077d7e88049c02a","Sr Data Scientist","120000-139999","data_scientist","['Hive', 'Machine Learning', 'Hadoop', 'R', 'Statisical Analysis', 'SAS', 'SQL', 'Tableau', 'Big Data', 'Python']","c_64"
"1461_1f69c9c641b4c973","Lead Data Scientist - Stealth MedTech Startup","120000-139999","data_scientist","['Machine Learning', 'R', 'Java', 'iOS', 'Confluence', 'Git', 'Python', 'OOP', 'Jira']","c_259"
"1462_d73294b71d7f0354","NLP Scientist","120000-139999","data_scientist","['Java', 'TensorFlow', 'Natural Language Processing', 'Machine Learning', 'R', 'Python']","c_1077"
"1463_578fa8376f4eec04","Data Scientist/Database Architect","120000-139999","data_scientist","['JavaScript', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'Statisical Analysis', 'Oracle', 'C/C++', 'SQL', 'Java', 'MySQL', 'Spark', 'Python', 'Data Science']","c_1255"
"1464_578066732162f420","Data Scientist, Computational Biology and Crop Genetics","120000-139999","data_scientist","['Machine Learning', 'AWS']","c_267"
"1465_4e041af1d0af1bc8","Operations Research Data Scientist","120000-139999","data_scientist","['Data Mining', 'Machine Learning', 'Hadoop', 'R', 'C/C++', 'Java', 'Big Data', 'Maven', 'MySQL', 'Git', 'Design Experience', 'Python', 'OOP']","c_323"
"1466_a5b4499d9e91a5c6","Program Manager, Machine Learning Data Ecosystem, Google AI","120000-139999","data_scientist","['Machine Learning', 'Project Management']","c_903"
"1467_3a1edc2d763c4288","Data Scientist Senior","120000-139999","data_scientist","['AI', 'Ruby', 'Machine Learning', 'Perl', 'R', 'Kafka', 'SAS', 'Cloud Computing', 'Java', 'Python', 'Data Science']","c_2070"
"1468_afbf8c270610a38a","Sr. Data Scientist-Healthcare Provider Analytics","120000-139999","data_scientist","['Big Data', 'Hadoop', 'SAS', 'Python', 'SQL']","c_449"
"1469_acf786d7ca32d66d","Senior Data Scientist, Investment Domain","120000-139999","data_scientist","['JavaScript', 'Machine Learning', 'R', 'HTML5', 'SQL', 'Natural Language Processing', 'CSS', 'Python']","c_1266"
"1470_30782f168fa4a824","Senior Data Scientist, Applications","120000-139999","data_scientist","['JavaScript', 'Machine Learning', 'Go', 'Google Cloud Platform', 'Kafka', 'R', 'CI/CD', 'SQL', 'React', 'Python']","c_1354"
"1471_3a1edc2d763c4288","Data Scientist Lead","120000-139999","data_scientist","['Ruby', 'Machine Learning', 'Perl', 'Java', 'Python']","c_2070"
"1472_1fea2a7d8e897821","Senior Data Scientist - Industry","120000-139999","data_scientist","['Linux', 'Machine Learning', 'Scripting', 'R', 'SQL', 'Design Experience', 'Shell Scripting', 'Python']","c_2228"
"1473_290a4498a64fc044","Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Machine Learning', 'C/C++', 'Big Data', 'Natural Language Processing', 'Project Implementation', 'TS/SCI Clearance', 'Hadoop', 'CI/CD', 'Spark', 'Docker', 'NoSQL', 'Python', 'Signal Processing']","c_361"
"1474_0b7a1f1097a7f37a","Combat Incident Analysis Data Scientist","120000-139999","data_scientist","","c_1057"
"1475_6ff59dff7a135a8f","Senior Data Scientist","120000-139999","data_scientist","['Pig', 'TensorFlow', 'Hive', 'Machine Learning', 'Go', 'Google Cloud Platform', 'Azure', 'R', 'C/C++', 'SQL', 'Big Data', 'Node.js', 'React', 'MySQL', 'Kubernetes', 'OOP', 'AI', 'Ruby', 'Hadoop']","c_975"
"1476_2da0dedf6df97194","Data Scientist-PhD","120000-139999","data_scientist","['TensorFlow', 'Linux', 'AI', 'Machine Learning', 'Hadoop', 'R', 'Scala', 'C/C++', 'SQL', 'Tableau', 'Java', 'Spark', 'Leadership Experience', 'Python']","c_1593"
"1477_d4b58fa60b80adb8","Senior Data Scientist","120000-139999","data_scientist","['Machine Learning', 'R', 'C/C++', 'SQL', 'Tableau', 'MATLAB', 'Python']","c_1700"
"1478_14573f60c2094076","Data Scientist - Intern 2019","120000-139999","data_scientist","['Python', 'SQL']","c_1637"
"1479_de71a49b535e21cb","Cognitive Data Scientist","120000-139999","data_scientist","['Machine Learning', 'R', 'Azure', 'Google Cloud Platform', 'JSON', 'Big Data', 'Confluence', 'CI', 'Jira', 'AI', 'VMWare', 'Hadoop', 'Spark', 'Git', 'NoSQL', 'Python', 'AWS']","c_1017"
"1480_fcf465e707df52fb","Marketing Senior Data Scientist","120000-139999","data_scientist","['Hive', 'Customer Segmentation', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'Google Cloud Platform', 'Azure', 'SQL', 'Teradata', 'Big Data', 'MongoDB', 'Spark', 'NoSQL', 'PostgreSQL', 'Python', 'Data Science']","c_2064"
"1481_de71a49b535e21cb","Senior Data Scientist","120000-139999","data_scientist","['TensorFlow', 'Machine Learning', 'R', 'SQL', 'Excel', 'Big Data', 'Natural Language Processing', 'Spark', 'SPSS', 'Python']","c_1017"
